id,curriculo_id,disciplina_id,natureza_disciplina_id,created_at,updated_at
269,4,13217,2,2024-11-12 20:04:12.547743,2024-11-12 20:04:12.547753
270,4,13218,2,2024-11-12 20:04:12.552776,2024-11-12 20:04:12.552786
271,4,13219,2,2024-11-12 20:04:12.557154,2024-11-12 20:04:12.557162
272,4,2302,2,2024-11-12 20:04:12.561674,2024-11-12 20:04:12.561681
273,4,2303,2,2024-11-12 20:04:12.565646,2024-11-12 20:04:12.565653
274,4,2304,2,2024-11-12 20:04:12.569627,2024-11-12 20:04:12.569633
275,4,2305,2,2024-11-12 20:04:12.573545,2024-11-12 20:04:12.573552
276,4,2306,2,2024-11-12 20:04:12.577417,2024-11-12 20:04:12.577424
277,4,2307,2,2024-11-12 20:04:12.581530,2024-11-12 20:04:12.581536
278,5,2235,1,2024-11-12 20:04:12.585452,2024-11-12 20:04:12.585458
279,5,2236,1,2024-11-12 20:04:12.589379,2024-11-12 20:04:12.589385
280,5,2237,1,2024-11-12 20:04:12.593114,2024-11-12 20:04:12.593120
281,5,2249,1,2024-11-12 20:04:12.596708,2024-11-12 20:04:12.596714
282,5,2250,1,2024-11-12 20:04:12.600732,2024-11-12 20:04:12.600739
283,5,2251,1,2024-11-12 20:04:12.604405,2024-11-12 20:04:12.604411
284,5,2258,1,2024-11-12 20:04:12.608052,2024-11-12 20:04:12.608058
285,5,2291,1,2024-11-12 20:04:12.612074,2024-11-12 20:04:12.612080
286,5,2293,1,2024-11-12 20:04:12.617098,2024-11-12 20:04:12.617105
287,5,2298,1,2024-11-12 20:04:12.621247,2024-11-12 20:04:12.621254
288,5,1722,1,2024-11-12 20:04:12.625368,2024-11-12 20:04:12.625375
289,5,2614,1,2024-11-12 20:04:12.629248,2024-11-12 20:04:12.629255
290,5,2615,1,2024-11-12 20:04:12.633396,2024-11-12 20:04:12.633403
291,5,2616,1,2024-11-12 20:04:12.638033,2024-11-12 20:04:12.638041
292,5,2612,1,2024-11-12 20:04:12.642293,2024-11-12 20:04:12.642300
293,5,2613,1,2024-11-12 20:04:12.646484,2024-11-12 20:04:12.646498
294,5,2238,1,2024-11-12 20:04:12.650596,2024-11-12 20:04:12.650603
295,5,2239,1,2024-11-12 20:04:12.654717,2024-11-12 20:04:12.654723
296,5,2252,1,2024-11-12 20:04:12.658425,2024-11-12 20:04:12.658439
297,5,2253,1,2024-11-12 20:04:12.662558,2024-11-12 20:04:12.662565
298,5,2254,1,2024-11-12 20:04:12.666257,2024-11-12 20:04:12.666263
299,5,2255,1,2024-11-12 20:04:12.669969,2024-11-12 20:04:12.669975
300,5,2256,1,2024-11-12 20:04:12.673916,2024-11-12 20:04:12.673923
301,5,2257,1,2024-11-12 20:04:12.677795,2024-11-12 20:04:12.677801
302,5,2279,1,2024-11-12 20:04:12.681860,2024-11-12 20:04:12.681867
303,5,2280,1,2024-11-12 20:04:12.685660,2024-11-12 20:04:12.685666
304,5,2281,1,2024-11-12 20:04:12.690052,2024-11-12 20:04:12.690059
305,5,2282,1,2024-11-12 20:04:12.693947,2024-11-12 20:04:12.693953
306,5,2283,1,2024-11-12 20:04:12.697726,2024-11-12 20:04:12.697732
307,5,2290,1,2024-11-12 20:04:12.701701,2024-11-12 20:04:12.701707
308,5,2292,1,2024-11-12 20:04:12.705414,2024-11-12 20:04:12.705421
309,5,2294,1,2024-11-12 20:04:12.709355,2024-11-12 20:04:12.709361
310,5,2295,1,2024-11-12 20:04:12.713069,2024-11-12 20:04:12.713075
311,5,2297,1,2024-11-12 20:04:12.716960,2024-11-12 20:04:12.716967
312,5,2299,1,2024-11-12 20:04:12.720663,2024-11-12 20:04:12.720669
313,5,2308,1,2024-11-12 20:04:12.724415,2024-11-12 20:04:12.724422
314,5,2311,1,2024-11-12 20:04:12.728319,2024-11-12 20:04:12.728325
315,5,13117,2,2024-11-12 20:04:12.731975,2024-11-12 20:04:12.731982
316,5,2240,2,2024-11-12 20:04:12.735686,2024-11-12 20:04:12.735692
317,5,2241,2,2024-11-12 20:04:12.739607,2024-11-12 20:04:12.739613
318,5,13120,2,2024-11-12 20:04:12.744288,2024-11-12 20:04:12.744297
319,5,13121,2,2024-11-12 20:04:12.749474,2024-11-12 20:04:12.749486
320,5,13122,2,2024-11-12 20:04:12.756635,2024-11-12 20:04:12.756648
321,5,2242,2,2024-11-12 20:04:12.763104,2024-11-12 20:04:12.763117
322,5,13124,2,2024-11-12 20:04:12.770065,2024-11-12 20:04:12.770076
323,5,2243,2,2024-11-12 20:04:12.775866,2024-11-12 20:04:12.775881
324,5,2244,2,2024-11-12 20:04:12.783241,2024-11-12 20:04:12.783254
325,5,13127,2,2024-11-12 20:04:12.790115,2024-11-12 20:04:12.790127
326,5,13128,2,2024-11-12 20:04:12.797239,2024-11-12 20:04:12.797255
327,5,2245,2,2024-11-12 20:04:12.803347,2024-11-12 20:04:12.803358
328,5,13130,2,2024-11-12 20:04:12.809023,2024-11-12 20:04:12.809033
329,5,13131,2,2024-11-12 20:04:12.816185,2024-11-12 20:04:12.816204
330,5,13132,2,2024-11-12 20:04:12.822548,2024-11-12 20:04:12.822561
331,5,13133,2,2024-11-12 20:04:12.832154,2024-11-12 20:04:12.832170
332,5,13134,2,2024-11-12 20:04:12.837518,2024-11-12 20:04:12.837527
333,5,13135,2,2024-11-12 20:04:12.842712,2024-11-12 20:04:12.842730
334,5,13136,2,2024-11-12 20:04:12.848789,2024-11-12 20:04:12.848799
335,5,13137,2,2024-11-12 20:04:12.853115,2024-11-12 20:04:12.853121
